commodity_id,recorded_at,price,volume,day_high,day_low,change,change_percentage,open_price,previous_close,price_avg_50,price_avg_200,year_high,year_low,ingested_at
10,2026-02-03 16:09:33,66.83,32306,67.13,65.19,0.53,0.7994,66.3,66.3,63.0366,65.6555,81.4,58.39,2026-02-03 16:10:01
12,2026-02-03 16:09:30,62.76,154678,63.11,61.13,0.62,0.99775,62.28,62.14,58.9714,62.2146,78.4,54.98,2026-02-03 16:10:01
22,2026-02-03 15:59:34,25613.75,311000,26027.75,25470.25,-236.25,-0.91393,25876.5,25850.0,25639.355,24269.51195,26399.0,16460.0,2026-02-03 16:10:01
8,2026-02-03 16:09:34,6.069,60780,6.1155,5.83,0.2435,4.1799,5.8395,5.8255,5.56657,5.03703,6.508,4.0985,2026-02-03 16:10:01
24,2026-02-03 15:59:35,6977.25,680519,7027.25,6954.25,-25.25,-0.36059,7004.25,7002.5,6928.385,6586.64855,7043.0,4832.0,2026-02-03 16:10:01
40,2026-02-03 15:59:35,88.3,74610,89.065,79.01,11.291,14.66192,79.22,77.009,74.25556,48.65024,121.3,28.31,2026-02-03 16:10:01
17,2026-02-03 16:09:35,3.364,111197,3.378,3.169,0.127,3.92339,3.263,3.237,4.32862,3.61353,7.827,2.622,2026-02-03 16:10:01
18,2026-02-03 15:59:34,4956.3,170318,4977.7,4690.2,303.7,6.52753,4691.0,4652.6,4567.638,3896.03,5626.8,2844.1,2026-02-03 16:10:01
27,2026-02-03 16:09:35,2251.4,19024,2270.65,2108.2,147.3,7.00062,2127.8,2104.1,2060.342,1521.0804,2852.4,884.5,2026-02-03 16:10:01
